fips,lat,lon,elevation,slope1,slope2,slope3,slope4,slope5,slope6,slope7,slope8,aspectN,aspectE,aspectS,aspectW,aspectUnknown,WAT_LAND,NVG_LAND,URB_LAND,GRS_LAND,FOR_LAND,CULTRF_LAND,CULTIR_LAND,CULT_LAND,SQ1,SQ2,SQ3,SQ4,SQ5,SQ6,SQ7
6001,37.648081,-121.91330400000001,146,0.0224,0.1172,0.1629,0.193,0.1547,0.2397,0.0863,0.0238,0.2055,0.2326,0.1843,0.23800000000000002,0.1396,0.0,0.0,1.03110361099243,42.4786834716797,49.6773910522461,4.51037216186523,2.3024480342865,6.812819957733151,1,1,1,1,1,1,1
6003,38.61761,-119.798999,2630,0.0001,0.0026,0.0141,0.0596,0.096,0.3779,0.2515,0.1982,0.2477,0.2698,0.1697,0.3101,0.0027,0.0,16.9948997497559,0.00509999971836805,8.64690399169922,74.3530960083008,0.0,0.0,0.0,3,2,1,1,1,1,1
6005,38.44355,-120.653856,719,0.0003,0.0072,0.0461,0.1396,0.16399999999999998,0.2758,0.1513,0.2157,0.1887,0.2127,0.2741,0.317,0.0075,0.0,0.0,0.47429999709129295,14.3474931716919,81.5367050170898,3.64150166511536,0.0,3.64150166511536,1,1,3,1,1,1,2
6007,39.665959,-121.601919,373,0.0023,0.0263,0.1898,0.2433,0.1571,0.2899,0.0781,0.0132,0.1559,0.1918,0.184,0.4397,0.0286,0.0,0.0,7.292396068573001,24.9428863525391,64.1376113891602,3.1886465549469,0.43846058845520003,3.6271071434021,1,1,1,1,1,1,1
6009,38.187844,-120.55511499999999,499,0.0015,0.02,0.1085,0.2526,0.2027,0.3175,0.0855,0.0117,0.2674,0.1287,0.3029,0.2795,0.0215,0.0,0.0,0.5474284887313839,24.101444244384798,71.646598815918,1.5420231819152799,2.16250491142273,3.7045280933380096,1,1,2,1,1,1,2
6011,39.177739,-122.237563,40,0.1294,0.6388,0.17600000000000002,0.0452,0.0054,0.0052,0.0,0.0,0.0929,0.0895,0.0246,0.0248,0.7682,0.0,0.0,0.0228395573794842,29.373229980468803,61.1986694335938,3.79221725463867,5.613042831420901,9.40526008605957,1,1,2,1,1,1,2
6013,37.919478999999995,-121.95154299999999,395,0.0002,0.0037,0.0182,0.0662,0.1105,0.5149,0.2052,0.0811,0.2601,0.3128,0.2178,0.2054,0.0039,0.0,0.0,3.4115824699401895,43.40087890625,43.8220443725586,6.55360460281372,2.8118910789489706,9.365495681762699,1,1,2,1,1,1,2
6015,41.749903,-123.980998,493,0.0,0.0019,0.0115,0.0353,0.0496,0.2376,0.3108,0.3533,0.2456,0.2782,0.1772,0.2971,0.0019,0.0,0.0,0.0808999985456467,16.2248554229736,83.6942443847656,0.0,0.0,0.0,2,2,1,1,1,1,1
6017,38.785532,-120.534398,1442,0.0004,0.0066,0.0283,0.0999,0.1569,0.5155,0.1491,0.0433,0.3487,0.0825,0.3081,0.2537,0.006999999999999999,0.0,0.0,0.13609999418258698,8.94320011138916,90.9207000732422,0.0,0.0,0.0,3,2,2,1,1,1,2
6019,36.761006,-119.655019,106,0.1844,0.7454,0.07,0.0002,0.0,0.0,0.0,0.0,0.0122,0.0148,0.0182,0.025,0.9298,0.0,0.37724518775939897,0.0,2.17170882225037,18.155117034912102,0.0670166015625,79.2289123535156,79.2959289550781,1,1,1,1,1,1,1
